I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 15:41:28.984219 164201 Oracle_NN.py:157] loss:0.06864938553786593, idx:347, prediction shapetorch.Size([1, 1024, 3])
I0229 15:41:38.520182 164201 Oracle_NN.py:157] loss:0.037047808547536795, idx:120, prediction shapetorch.Size([1, 1024, 3])
I0229 15:41:46.658312 164201 Oracle_NN.py:157] loss:0.06095555234920666, idx:1257, prediction shapetorch.Size([1, 1024, 3])
I0229 15:41:54.850048 164201 Oracle_NN.py:157] loss:0.0424971627233063, idx:1533, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:03.592213 164201 Oracle_NN.py:157] loss:0.033958212791357814, idx:318, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:12.213290 164201 Oracle_NN.py:157] loss:0.06454259402552864, idx:434, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:20.128005 164201 Oracle_NN.py:157] loss:0.038821081027905574, idx:409, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:29.824982 164201 Oracle_NN.py:157] loss:0.06425731398789475, idx:542, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:39.438209 164201 Oracle_NN.py:157] loss:0.06751551856459602, idx:362, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:48.885457 164201 Oracle_NN.py:157] loss:0.039334011051897974, idx:281, prediction shapetorch.Size([1, 1024, 3])
I0229 15:42:57.933800 164201 Oracle_NN.py:157] loss:0.09567241752692521, idx:626, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:07.462750 164201 Oracle_NN.py:157] loss:0.042704764777828155, idx:1664, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:16.880501 164201 Oracle_NN.py:157] loss:0.04150143187505896, idx:490, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:26.216862 164201 Oracle_NN.py:157] loss:0.0818972091884634, idx:1442, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:35.588784 164201 Oracle_NN.py:157] loss:0.08586735915201579, idx:1977, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:44.141129 164201 Oracle_NN.py:157] loss:0.05259335641791249, idx:1274, prediction shapetorch.Size([1, 1024, 3])
I0229 15:43:52.415432 164201 Oracle_NN.py:157] loss:0.04931730131311242, idx:404, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:00.435432 164201 Oracle_NN.py:157] loss:0.07726171235679977, idx:29, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:09.962908 164201 Oracle_NN.py:157] loss:0.0465237934809325, idx:2795, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:19.360358 164201 Oracle_NN.py:157] loss:0.06326215163800743, idx:2287, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:27.785464 164201 Oracle_NN.py:157] loss:0.04714327092179938, idx:1949, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:36.369671 164201 Oracle_NN.py:157] loss:0.03551528763021408, idx:2287, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:44.849049 164201 Oracle_NN.py:157] loss:0.03412350246840034, idx:1017, prediction shapetorch.Size([1, 1024, 3])
I0229 15:44:52.953756 164201 Oracle_NN.py:157] loss:0.04353090472270753, idx:471, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:01.082643 164201 Oracle_NN.py:157] loss:0.036277528864591416, idx:1806, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:10.448861 164201 Oracle_NN.py:157] loss:0.03988990221921744, idx:1949, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:19.087683 164201 Oracle_NN.py:157] loss:0.028975667292836585, idx:674, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:27.665799 164201 Oracle_NN.py:157] loss:0.050253058637832, idx:303, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:36.024738 164201 Oracle_NN.py:157] loss:0.06254404360152087, idx:1781, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:44.392977 164201 Oracle_NN.py:157] loss:0.06021186867743461, idx:2100, prediction shapetorch.Size([1, 1024, 3])
I0229 15:45:54.549594 164201 Oracle_NN.py:157] loss:0.04221949609223359, idx:1953, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:04.608459 164201 Oracle_NN.py:157] loss:0.07996828222188689, idx:1495, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:13.743055 164201 Oracle_NN.py:157] loss:0.03513651281793225, idx:2643, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:22.706434 164201 Oracle_NN.py:157] loss:0.04748839410036755, idx:1308, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:31.358189 164201 Oracle_NN.py:157] loss:0.030881422845445042, idx:382, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:39.914558 164201 Oracle_NN.py:157] loss:0.04009364599295443, idx:2381, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:48.177191 164201 Oracle_NN.py:157] loss:0.04780425343784065, idx:1518, prediction shapetorch.Size([1, 1024, 3])
I0229 15:46:57.330570 164201 Oracle_NN.py:157] loss:0.05010009648356112, idx:2620, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:05.352987 164201 Oracle_NN.py:157] loss:0.07044337461305286, idx:278, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:13.442840 164201 Oracle_NN.py:157] loss:0.053818054972285555, idx:1629, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:21.467954 164201 Oracle_NN.py:157] loss:0.08667059266704852, idx:1867, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:29.728963 164201 Oracle_NN.py:157] loss:0.056062250719948234, idx:2323, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:37.815769 164201 Oracle_NN.py:157] loss:0.038684123081563916, idx:1466, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:45.872651 164201 Oracle_NN.py:157] loss:0.04415318577847192, idx:817, prediction shapetorch.Size([1, 1024, 3])
I0229 15:47:53.939998 164201 Oracle_NN.py:157] loss:0.039706759025078316, idx:1030, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:02.034252 164201 Oracle_NN.py:157] loss:0.05951143604172404, idx:1515, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:10.179031 164201 Oracle_NN.py:157] loss:0.06518117492219005, idx:375, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:18.293378 164201 Oracle_NN.py:157] loss:0.06517100609198162, idx:1531, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:26.347865 164201 Oracle_NN.py:157] loss:0.04628022003743892, idx:352, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:34.400532 164201 Oracle_NN.py:157] loss:0.03852438141129264, idx:827, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:42.605052 164201 Oracle_NN.py:157] loss:0.07766198108735768, idx:63, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:50.684844 164201 Oracle_NN.py:157] loss:0.06784060097482081, idx:1768, prediction shapetorch.Size([1, 1024, 3])
I0229 15:48:58.717783 164201 Oracle_NN.py:157] loss:0.036750844406465345, idx:986, prediction shapetorch.Size([1, 1024, 3])
